Block,Event,Network_ID,Network_Type,Token_ID,Channel_Amount,Participant_1_Settle_Amount,Participant_2_Settle_Amount,Channel_ID,Transaction,Channel_Participant_1,Channel_Participant_2
6593719,ChannelClosed,RDN,Mainnet,,,,,25,0x9e4f85d1d80de9a2d24abe6a25712cd635b07cf0d81ee70a4114b1f9edbba919,0xE03E70e33F2AC48ceC3be5C0C7B06a0f25Ad5610,
6593719,ChannelClosed,RDN,Mainnet,,,,,14,0xe996b64c062663dd9d403cff608cea621f9e1446267e1e032d78a77bd1d01f74,0x06f5140A415f4E3969f7e40daEcCFd0558c9cE26,
6593719,ChannelClosed,RDN,Mainnet,,,,,16,0x420f5887cc299a64e30e9aca519fcef2c8c923d76b95ae49f2a96e280a0ecf8c,0x06f5140A415f4E3969f7e40daEcCFd0558c9cE26,
6593720,ChannelClosed,RDN,Mainnet,,,,,27,0x14242a393e87bb6fc4829fde024d33416ba60aae3265ab087935032b2f648cb3,0xf9ED3cCa3e56A7B72049e6e830C39fd842A2F8e6,
6593724,ChannelClosed,RDN,Mainnet,,,,,21,0x3400f91f9e050f87f614489e1e9b2ec99f6bdfe784393c9c76bdef3e439e4e00,0x10F4BC8CD156B4785f8F1f100C53C4cA0181E9b9,
6593724,ChannelClosed,RDN,Mainnet,,,,,18,0x71db47184c57925f96d49cfdfd5c2cbe1f97b92ab19352e2e6f78760874e52fc,0xe89Ce3756690Ac7937972797471d7c84F9818ac6,
6593737,ChannelClosed,RDN,Mainnet,,,,,26,0xd394c8b46163fed1f161ecbb1e2be0e432951f83f26786e2611643c52f53f7a3,0xe89Ce3756690Ac7937972797471d7c84F9818ac6,
6593737,ChannelClosed,RDN,Mainnet,,,,,22,0x39d1c576ce6f1083b83105bff7a0849b3104563440231f71a2e7ef481dc09423,0x10F4BC8CD156B4785f8F1f100C53C4cA0181E9b9,
6593737,ChannelClosed,RDN,Mainnet,,,,,23,0x5c09881097d5b345855ff94ca336d27bc50df2dac796a955b3f07cec0022ef2e,0x10F4BC8CD156B4785f8F1f100C53C4cA0181E9b9,
6593744,ChannelClosed,RDN,Mainnet,,,,,28,0x9bc3cfa483e2471dfe6d8982f10df5caf70ea7e58145a2482667ed13696e90a6,0xf9ED3cCa3e56A7B72049e6e830C39fd842A2F8e6,
6593748,ChannelClosed,RDN,Mainnet,,,,,20,0x9704311059c2447510d4c6ad3395a514ba40a68ce10f2b3cc316d22aaa38484e,0xf9ED3cCa3e56A7B72049e6e830C39fd842A2F8e6,
6595266,ChannelClosed,RDN,Mainnet,,,,,5,0x88bb1c14bf9c5f5375747a8a91e7bccd7fe71335a433aa8478dc02af3980e176,0x28898A6b762d9c400FF900EFF66F2885F0B28FAF,
6595267,ChannelClosed,RDN,Mainnet,,,,,29,0x97baa492f9447bca059e1fb292057357fd4871c475a30a46aa7d5e9a4fc76cb1,0x28898A6b762d9c400FF900EFF66F2885F0B28FAF,
6605332,ChannelClosed,RDN,Mainnet,,,,,48,0x5f5cdf29b22f4ab68d4aebe5ab4e6ddf3d7e9a3a0a104ee0c34d4432dc94e898,0x2CB3e01a636a3Bfc5727718dd9e1ABCdfaE6a617,
6605332,ChannelClosed,RDN,Mainnet,,,,,43,0xe8a1626ca8363587b9ba8ffaa84868552de0245982e4026e035e468b8b91f2ec,0x2CB3e01a636a3Bfc5727718dd9e1ABCdfaE6a617,
6605825,ChannelClosed,RDN,Mainnet,,,,,42,0xbd31ffb6e8999190b24775ebe8c21a63b5aaf91dfb82611c0efa0910041a4da4,0xD6e68536eCe0Eac02b39317FdCE814087Bae6118,
6606232,ChannelClosed,RDN,Mainnet,,,,,58,0x314edbe926136b92567cd67727e8ded03d02a9aadfe8f7f57138b9f7a7ffcc62,0xAAAAAA219100005A77eF9dEf76b24dfB2cD6B35e,
6610162,ChannelClosed,RDN,Mainnet,,,,,35,0x0019ad4a1b16d0ae18801ab5ce999634c6066020c3d234126f73d11d998a66ff,0xD6e68536eCe0Eac02b39317FdCE814087Bae6118,
